mse,mae,rmse,precision,recall
2.243511199951172,1.3039278984069824,1.4978355169296265,0.1796875,0.2
2.3682637214660645,1.3107335567474365,1.5389164686203003,0.2265625,0.2
2.0771827697753906,1.2404210567474365,1.4412435293197632,0.203125,0.2
2.3304595947265625,1.3182942867279053,1.5265843868255615,0.1640625,0.2
1.8561630249023438,1.1741406917572021,1.3624107837677002,0.1953125,0.2
2.287365198135376,1.2913281917572021,1.5124037265777588,0.2109375,0.2
2.2603988647460938,1.2794835567474365,1.503462314605713,0.1953125,0.2
2.3390274047851562,1.3228299617767334,1.5293879508972168,0.1875,0.2
2.1404337882995605,1.2850260734558105,1.4630221128463745,0.1640625,0.2
2.12884521484375,1.2562978267669678,1.4590562582015991,0.1875,0.2
2.233936309814453,1.2797353267669678,1.494636058807373,0.1875,0.2
2.1346395015716553,1.261085033416748,1.4610406160354614,0.1953125,0.2
2.318615198135376,1.2913281917572021,1.5227000713348389,0.2109375,0.2
2.458233118057251,1.3417317867279053,1.5678753852844238,0.1875,0.2
2.313068389892578,1.3074567317962646,1.520877480506897,0.171875,0.2
1.9831767082214355,1.2144618034362793,1.4082531929016113,0.2109375,0.2
2.3171048164367676,1.267638921737671,1.5222039222717285,0.25,0.2
2.0582809448242188,1.201862096786499,1.43467116355896,0.2421875,0.2
2.7704858779907227,1.4382553100585938,1.6644775867462158,0.1796875,0.2
2.14447021484375,1.2411763668060303,1.4644010066986084,0.234375,0.2
2.320885181427002,1.2749478816986084,1.5234451293945312,0.2109375,0.2
2.0754165649414062,1.233615517616272,1.440630555152893,0.21875,0.2
1.9244571924209595,1.1678385734558105,1.387248158454895,0.2578125,0.2
2.047443389892578,1.229331612586975,1.4308890104293823,0.2109375,0.2
2.389179229736328,1.3533246517181396,1.5456969738006592,0.1328125,0.2
2.699162006378174,1.4158246517181396,1.6429126262664795,0.1796875,0.2
2.1585848331451416,1.2250478267669678,1.469212293624878,0.25,0.2
2.3639798164367676,1.3140103816986084,1.537523865699768,0.1875,0.2
2.3881726264953613,1.314513921737671,1.5453712940216064,0.203125,0.2
2.1989059448242188,1.279987096786499,1.4828709363937378,0.203125,0.2
2.0156898498535156,1.2172353267669678,1.4197499752044678,0.203125,0.2
2.1795005798339844,1.2373958826065063,1.4763132333755493,0.25,0.2
2.2855987548828125,1.3036763668060303,1.5118197202682495,0.1875,0.2
1.942352294921875,1.1786762475967407,1.3936829566955566,0.234375,0.2
2.017200231552124,1.240924596786499,1.4202818870544434,0.1640625,0.2
2.098602294921875,1.248737096786499,1.448655366897583,0.1796875,0.2
2.095325231552124,1.2263065576553345,1.4475239515304565,0.25,0.2
2.1742095947265625,1.2255513668060303,1.4745203256607056,0.2890625,0.2
1.6457247734069824,1.1249957084655762,1.2828580141067505,0.2109375,0.2
2.3072738647460938,1.2915798425674438,1.5189714431762695,0.21875,0.2
2.446892023086548,1.357105016708374,1.5642544031143188,0.1484375,0.2
2.3291969299316406,1.3311458826065063,1.5261707305908203,0.1640625,0.2
2.169166326522827,1.2381510734558105,1.472809076309204,0.265625,0.2
2.129852294921875,1.2568012475967407,1.4594013690948486,0.1953125,0.2
2.13010835647583,1.220763921737671,1.459489107131958,0.2578125,0.2
2.399010181427002,1.3142621517181396,1.5488739013671875,0.2109375,0.2
2.2019269466400146,1.2925868034362793,1.4838892221450806,0.171875,0.2
2.5681116580963135,1.3734853267669678,1.6025328636169434,0.1953125,0.2
2.2944223880767822,1.283263921737671,1.514735221862793,0.21875,0.2
