ndcg,diversity
0.0,
0.0,
0.0,0.26616023302707525
0.0,
0.0,
0.0,0.2678280373997738
0.0,
0.0,
0.0,0.24626347351207156
0.0,0.270697019825791
0.0,
0.0,0.2561965804046562
0.0,0.2613954306074011
0.0,
0.0,0.2631482793781331
0.0,0.2628688318294419
0.0,0.2646467982653966
0.0,
0.0,0.2757609164220389
0.0,
0.0,
0.0,0.24848492742615003
0.0,0.25659981920958863
0.0,
0.0,
0.0,
0.0,
0.0,0.2573574037420959
0.0,
0.0,0.2688126391078789
0.0,0.24553458254255645
0.0,0.2485301586334312
0.0,
0.0,
0.0,0.24522304787072402
0.0,
0.0,
0.0,
0.0,
0.0,0.25083759376269343
0.0,
0.0,0.24773120121461356
0.0,0.26337139781388064
0.0,
0.0,0.2641602279933277
0.0,0.2823821515645324
0.0,0.23533196672018952
0.0,
0.0,0.2568208464806786
0.0,0.24824409038490702
0.0,
0.0,0.2597014507520291
0.0,
0.0,
0.0,
0.0,0.24234353587578805
0.0,0.264211507590984
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,0.26436499884067866
0.0,0.24347127352710873
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,0.25632605656082186
0.0,
0.0,
0.0,0.2616292005099108
0.0,0.272088267026088
0.0,
0.0,0.2739644722793634
0.0,0.28723960592468656
0.0,
0.0,0.2667462902430059
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,0.2480172387777394
0.0,
0.0,0.27447294384020393
0.0,
0.0,
0.0,
0.0,0.2574571803253608
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,0.23935813549394203
0.0,0.2534586077416011
0.0,
0.0,
0.0,0.24008170870945122
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,0.26322229114891893
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,0.2625361319356021
0.0,
0.0,
0.0,0.24093302490432889
