ndcg,diversity
0.0,
0.0,
0.0,
0.0,0.2528678739849721
0.0,0.22744374014640112
0.0,0.2553389508587294
0.0,0.24951382189184546
0.0,
0.0,
0.0,0.26889148944317
0.0,
0.0,
0.0,
0.0,
0.0,0.2636022144236049
0.0,
0.0,0.2610645951260754
0.0,
0.0,
0.0,
0.0,0.252156595941454
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,0.2509225539526433
0.0,0.2576841343304962
0.0,
0.0,0.2510723368015082
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,0.2561367166893366
0.0,
0.0,
0.0,0.24570025956192731
0.0,
0.0,0.26695594772720854
0.0,0.2638977820185222
0.0,0.2427600326581255
0.0,
0.0,0.2699586692685073
0.0,
0.0,0.264280206059046
0.0,
0.0,0.2476606888020656
0.0,
0.0,
0.0,0.252717389043958
0.0,0.2618173556508123
0.0,
0.0,
0.0,
0.0,
0.0,0.2541034735950196
0.0,0.25672779883801844
0.0,
0.0,
0.0,
0.0,0.2550964799668206
0.0,
0.0,
0.0,0.25387805710594546
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,0.26597877857649244
0.0,
0.0,
0.0,
0.0,
0.0,0.2522247988345131
0.0,
0.0,
0.0,
0.0,0.25945910451067433
0.0,
0.0,
0.0,
0.0,0.26568578045415436
0.0,0.27205620090117055
0.0,0.28459432386004935
0.0,0.2625455318136002
0.0,
0.0,
0.0,
0.0,0.2524636721541066
0.0,
0.0,0.2593241270281803
0.0,
0.0,
0.0,
0.0,0.27152475376357266
0.0,
0.0,
0.0,
0.0,
0.0,0.253458249980993
0.0,0.2507692107956728
0.0,
0.0,0.255945186570503
0.0,0.25625660661273775
0.0,0.23455551223807614
0.0,
0.0,
0.0,0.2656659306507583
0.0,
0.0,
0.0,
0.0,0.2550258376239408
0.0,
0.0,
0.0,
0.0,0.23451853417606372
0.0,
0.0,
0.0,
0.0,0.2647426930914485
0.0,
